Database???Annual
Year£º1960-2023
Year,Gross Domestic Product(100 million yuan),Value-added of Agriculture Forestry Animal Husbandry and Fishery industries(100 million yuan),Value-added of Industry(100 million yuan),Value-added of Construction(100 million yuan),Value-added of Wholesale and Retail Trades(100 million yuan),Value-added of Transport Storage and Post(100 million yuan),Value-added of Hotels and Catering Services(100 million yuan),Value-added of Financial Intermediation(100 million yuan),Value-added of Real Estate(100 million yuan),Value-added of Others(100 million yuan)
2023,1260582.1,94462.6,399103.1,85691.1,123072.4,57819.8,21023.6,100676.6,73722.7,305010.2
2022,1204724.0,92576.8,395043.7,80766.0,116294.1,51076.9,17755.0,93285.3,73766.1,284160.2
2021,1149237.0,86994.8,374545.6,78741.2,110147.0,48423.9,18026.9,90308.7,77215.9,264833.0
2020,1013567.0,81396.5,312902.9,72444.7,96086.1,40582.9,15285.4,83617.7,73425.3,237825.3
2019,986515.2,73576.9,311858.7,70648.1,95650.9,42466.3,17903.1,76250.6,70444.8,227715.8
2018,919281.1,67558.7,301089.3,65493.0,88903.7,40337.2,16520.6,70610.3,64623.0,204145.2
2017,832035.9,64660.0,275119.3,57905.6,81156.6,37121.9,15056.0,64844.3,57086.0,179086.3
2016,746395.1,62451.0,245406.4,51498.9,73724.5,33028.7,13607.8,59964.0,49969.4,156744.3
2015,688858.2,59852.6,234968.9,47761.3,67719.6,30519.5,12306.1,56299.8,42573.8,136856.5
2014,643563.1,57472.2,233197.4,45401.7,63170.4,28534.4,11228.7,46853.4,38086.4,119618.5
2013,592963.2,54692.4,222333.2,40896.8,56288.9,26042.7,10228.3,41293.4,35340.4,105847.3
2012,538580.0,50581.2,208901.4,36896.1,49835.5,23763.2,9536.9,35272.2,30751.9,93041.6
2011,487940.2,46122.6,195139.1,32926.5,43734.5,21842.0,8565.4,30747.2,27780.7,81082.2
2010,412119.3,39619.0,165123.1,27259.3,35907.9,18783.6,7712.0,25733.1,23326.6,68654.7
2009,348517.7,34659.7,138092.6,22681.5,29004.6,16522.4,6957.0,21836.8,18760.5,60002.6
2008,319244.6,33428.1,131724.0,18807.6,26186.2,16367.6,6616.1,18345.6,14600.3,53169.3
2007,270092.3,28483.7,111690.8,15348.0,20941.1,14605.1,5548.1,15200.0,13714.0,44561.5
2006,219438.5,24036.4,92235.8,12450.1,16533.4,12186.3,4792.6,9972.3,10320.9,36910.8
2005,187318.9,22416.2,77958.3,10400.5,13968.5,10668.8,4195.7,7486.0,8482.7,31742.1
2004,161840.2,21410.7,65774.9,8720.5,12455.8,9306.5,3664.8,6600.2,7152.1,26754.6
2003,137422.0,17380.6,55362.2,7510.8,11171.2,7914.8,3126.1,6045.7,6157.0,22753.8
2002,121717.4,16535.7,47774.9,6482.1,9996.8,7494.3,2724.8,5555.8,5334.5,19818.6
2001,110863.1,15780.0,43854.3,5945.5,9120.8,6871.3,2400.1,5202.8,4705.8,16982.6
2000,100280.1,14943.6,40258.5,5534.0,8159.8,6161.9,2146.3,4842.2,4140.9,14092.9
1999,90564.4,14768.7,36014.4,5180.9,7492.2,5175.9,1941.2,4489.7,3674.5,11827.0
1998,85195.5,14816.4,34133.9,4993.0,6914.3,4661.5,1786.9,4318.2,3427.7,10143.7
1997,79715.0,14440.8,33022.6,4628.3,6328.4,4149.1,1561.3,4179.2,2914.5,8490.9
1996,71813.6,14014.7,29528.9,4393.0,5600.5,3782.6,1336.8,3700.7,2611.9,6844.5
1995,61339.9,12135.1,25023.2,3733.7,4779.4,3244.7,1200.1,3211.5,2349.4,5662.8
1994,48637.5,9572.1,19546.3,2968.8,3774.0,2788.2,1008.5,2557.9,1905.6,4516.1
1993,35673.2,6963.3,14248.4,2269.9,2817.0,2174.3,712.1,1903.5,1376.9,3207.8
1992,27194.5,5866.2,10340.2,1417.9,2405.4,1689.2,584.6,1482.1,1099.1,2309.8
1991,22005.6,5341.9,8137.9,1017.7,1834.8,1420.5,442.3,1195.2,762.2,1853.1
1990,18872.9,5061.8,6904.5,861.7,1269.2,1167.2,301.9,1144.1,660.9,1501.7
1989,17179.7,4265.8,6525.5,796.1,1536.4,812.9,277.4,1079.9,565.1,1320.7
1988,15180.4,3865.2,5814.0,811.8,1483.6,685.9,241.4,658.9,472.8,1146.8
1987,12174.6,3232.9,4621.1,667.5,1059.7,568.5,187.1,506.2,381.9,949.8
1986,10376.2,2788.6,4000.7,527.3,852.7,499.0,163.2,401.2,297.5,846.1
1985,9098.9,2564.3,3478.2,419.3,802.5,421.8,138.3,293.9,214.8,765.8
1984,7278.5,2316.0,2815.8,317.9,363.6,338.6,96.8,230.6,162.0,637.3
1983,6020.9,1978.3,2399.0,271.7,198.7,275.0,72.5,168.9,121.6,535.2
1982,5373.4,1777.3,2183.0,221.6,171.5,246.9,62.3,130.6,110.6,469.5
1981,4935.8,1559.4,2067.7,208.0,231.2,220.8,54.1,91.7,99.8,403.3
1980,4587.6,1371.6,2014.8,196.3,193.8,213.4,47.4,85.8,96.2,368.2
1979,4100.5,1270.2,1786.5,144.6,200.9,193.7,44.0,75.9,86.2,298.5
1978,3678.7,1027.5,1621.4,138.9,242.4,182.0,44.6,76.5,79.7,265.6
1977,3250.0,950.5,1384.9,137.3,195.2,165.2,37.5,68.8,73.4,237.1
1976,2988.6,975.6,1216.7,133.1,134.4,147.1,30.0,62.2,69.0,220.4
1975,3039.5,979.8,1256.6,126.1,160.2,148.4,31.2,61.2,64.6,211.4
1974,2827.7,953.6,1094.4,108.9,188.2,132.2,33.4,56.5,58.7,201.8
1973,2756.2,915.6,1082.8,101.0,192.0,131.0,32.6,52.7,54.7,193.7
1972,2552.4,834.8,1000.0,94.8,176.7,123.0,30.7,52.8,55.1,184.6
1971,2456.9,833.7,936.3,96.6,162.5,108.4,28.2,65.3,49.8,176.1
1970,2279.7,800.4,836.3,84.5,162.9,100.2,26.9,56.7,47.5,164.3
1969,1962.2,742.8,633.7,63.3,149.0,84.9,26.3,54.0,45.3,163.0
1968,1744.1,732.8,496.9,47.3,126.1,70.5,23.8,48.3,41.7,156.8
1967,1794.2,720.6,551.6,58.2,138.6,72.3,25.6,41.5,38.3,147.6
1966,1888.7,708.5,656.3,61.2,132.1,85.1,26.4,35.8,32.4,150.8
1965,1734.0,656.9,554.2,56.0,104.6,77.4,23.7,85.2,30.5,145.3
1964,1469.9,564.0,468.1,52.7,81.8,58.4,21.7,59.1,25.0,139.2
1963,1248.3,501.9,371.7,42.3,64.5,55.0,20.7,36.8,27.0,128.4
1962,1162.2,457.1,330.9,34.1,67.6,57.4,21.4,48.4,25.3,120.0
1961,1232.3,445.0,367.7,27.0,96.5,69.2,23.1,61.2,23.6,118.9
1960,1470.1,343.8,574.1,80.3,120.3,104.0,27.7,61.6,20.9,137.4
