"Period",Cultivation,Animal production,Forestry and logging,Fishing and aquaculture,Mining and quarrying,Manufacturing,Food beverages products,Textile and leather products,Wood and paper products printing and reproduction of recorded media,Coke and refined petroleum products,Chemicals and chemical products,Non-metallic mineral products,Basic metals,Fabricated metal products,Computer electronic and optical products,Electrical equipment,Machinery and equipment,Transportation equipment,Other manufacturing repair and installation of machinery and equipment,Electricity,Gas steam and air conditioning supply,Water supply sewerage waste management and remediation activities,Building construction,Residential building construction,Non-residential building construction,Civil engineering,Specialized construction,Services,Wholesale and retail trade,Accommodation and food services,Finance and insurance,Communication,Publishing broadcasting motion picture video and television programme production and information service,Professional scientific and technical services,Business support services,Arts sports and recreation,Other services,Gross domestic product at market prices(GDP)
"1953",-,-,-,-,0.5,3.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.4,-,-,0.3,-,-,-,-,-,-,47.7
"1954",-,-,-,-,0.7,6.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.8,-,-,0.3,-,-,-,-,-,-,66.3
"1955",-,-,-,-,1.2,11.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.6,-,-,0.6,-,-,-,-,-,-,114.2
"1956",-,-,-,-,1.8,15.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.2,-,-,0.7,-,-,-,-,-,-,151.5
"1957",-,-,-,-,3.0,18.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.2,-,-,1.5,-,-,-,-,-,-,198.4
"1958",-,-,-,-,3.4,21.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78.8,-,-,2.2,-,-,-,-,-,-,207.6
"1959",-,-,-,-,4.1,24.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.7,-,-,2.5,-,-,-,-,-,-,220.8
"1960",-,-,-,-,5.6,28.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97.6,-,-,3.4,-,-,-,-,-,-,249.9
"1961",-,-,-,-,6.0,36.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113.1,-,-,3.7,-,-,-,-,-,-,301.7
"1962",-,-,-,-,7.8,42.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140.3,-,-,4.6,-,-,-,-,-,-,365.9
"1963",-,-,-,-,9.4,66.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172.4,-,-,6.2,-,-,-,-,-,-,518.5
"1964",-,-,-,-,13.5,105.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220.8,-,-,8.3,-,-,-,-,-,-,739.7
"1965",-,-,-,-,17.3,142.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,281.0,-,-,9.6,-,-,-,-,-,-,831.4
"1966",-,-,-,-,20.7,178.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,384.8,-,-,12.6,-,-,-,-,-,-,1066.1
"1967",-,-,-,-,26.3,220.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,514.7,-,-,17.2,-,-,-,-,-,-,1313.6
"1968",-,-,-,-,27.1,290.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,664.4,-,-,27.5,-,-,-,-,-,-,1692.9
