Entity,Code,Year,Patent applications per million people
Albania,ALB,2011,1.032633
Albania,ALB,2014,3.6052055
Albania,ALB,2015,5.1257772
Albania,ALB,2016,7.4364123
Albania,ALB,2017,6.041646
Albania,ALB,2018,5.7521224
Albania,ALB,2019,1.5577531
Albania,ALB,2021,9.237831
Algeria,DZA,1980,0.26871356
Algeria,DZA,1981,0.7283812
Algeria,DZA,1982,0.7044965
Algeria,DZA,1983,1.4592777
Algeria,DZA,1984,1.4103067
Algeria,DZA,1988,0.20738682
Algeria,DZA,1989,0.16158688
Algeria,DZA,1990,0.23644565
Algeria,DZA,1991,0.23087643
Algeria,DZA,1992,0.37553653
Algeria,DZA,1993,0.29328686
Algeria,DZA,1994,0.9681834
Algeria,DZA,1995,0.9834848
Algeria,DZA,1996,1.7221756
Algeria,DZA,1997,1.1494524
Algeria,DZA,1998,1.3974783
Algeria,DZA,1999,1.1813211
Algeria,DZA,2000,1.0354682
Algeria,DZA,2001,1.6277694
Algeria,DZA,2002,1.3542951
Algeria,DZA,2003,0.9323772
Algeria,DZA,2004,1.7775987
Algeria,DZA,2005,1.7819794
Algeria,DZA,2006,1.7249837
Algeria,DZA,2007,2.4569006
Algeria,DZA,2010,2.10013
Algeria,DZA,2011,2.5471923
Algeria,DZA,2012,3.1610124
Algeria,DZA,2013,3.071783
Algeria,DZA,2014,2.3976514
Algeria,DZA,2015,2.2239141
Algeria,DZA,2016,2.5948133
Algeria,DZA,2017,3.5740588
Algeria,DZA,2018,3.576047
Algeria,DZA,2019,2.6100285
Algeria,DZA,2020,3.701005
Algeria,DZA,2021,5.987342
Andorra,AND,2018,13.304595
Andorra,AND,2019,39.22902
Andorra,AND,2020,38.769707
Andorra,AND,2021,38.282887
Angola,AGO,1992,0.32196498
Angola,AGO,2018,0.19171071
Angola,AGO,2019,0.061774857
Antigua and Barbuda,ATG,2018,54.989773
Argentina,ARG,1980,45.302666
Argentina,ARG,1981,33.516068
Argentina,ARG,1982,32.87897
Argentina,ARG,1983,37.49405
Argentina,ARG,1984,39.580627
Argentina,ARG,1990,29.155052
Argentina,ARG,1991,28.37772
Argentina,ARG,1992,14.928683
Argentina,ARG,1993,23.043554
Argentina,ARG,1994,20.049986
Argentina,ARG,1995,19.275723
Argentina,ARG,1996,30.889406
Argentina,ARG,1997,22.922132
Argentina,ARG,1998,23.671495
Argentina,ARG,1999,24.432878
Argentina,ARG,2000,28.537659
Argentina,ARG,2001,18.365534
Argentina,ARG,2002,18.880156
Argentina,ARG,2003,20.611967
Argentina,ARG,2004,20.249426
Argentina,ARG,2005,26.876244
Argentina,ARG,2006,25.743198
Argentina,ARG,2007,23.415188
Argentina,ARG,2008,19.814888
Argentina,ARG,2009,15.665222
Argentina,ARG,2010,13.369277
Argentina,ARG,2011,16.48668
Argentina,ARG,2012,17.432875
Argentina,ARG,2013,15.100116
Argentina,ARG,2014,11.830586
Argentina,ARG,2015,12.558361
Argentina,ARG,2016,20.13653
Argentina,ARG,2017,8.873556
Argentina,ARG,2018,9.517436
Argentina,ARG,2019,9.828017
Argentina,ARG,2020,20.57888
Argentina,ARG,2021,8.960043
Armenia,ARM,1993,53.281876
Armenia,ARM,1994,45.770535
Armenia,ARM,1995,56.536785
Armenia,ARM,1996,49.409298
Armenia,ARM,1997,19.09873
Armenia,ARM,1998,23.376131
Armenia,ARM,1999,34.41432
Armenia,ARM,2000,36.9439
Armenia,ARM,2001,43.589264
Armenia,ARM,2002,62.503906
Armenia,ARM,2003,47.446976
Armenia,ARM,2005,65.47165
Armenia,ARM,2006,61.39874
Armenia,ARM,2007,43.44468
Armenia,ARM,2008,73.20786
