"Indicator","Economy","Unit of Measure","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Definition","Data Coverage","Calendar Year","Base Year","Source","Footnotes"
"Gross value added at current prices, Total","Afghanistan","Afghan Afghani","...","...","199960591600","235301915300","259963072200","318299387400","363588953300","505419799500","526782566800","611011543700","719559003400","863685171400","1044764850000","1149397815000","1179175433000","1209519506000","1164587881000","1218630826000","1260078646000","1400597138000","1478289862343.8","1465897364928","1189010412593","1216723884539","...","Gross value added at basic prices is output valued at basic prices less intermediate consumption valued at purchasers' prices.","From 2000 to 2024","Beginning 21 March","","2002–2015: National Statistics and Information Authority. 2016–2023: Asian Development Bank.","For 2016–2023: There are changes in basic concepts in line with the changing of the base year to 2016 producer's prices and the adoption of the System of National Accounts 2008."
"Gross value added at current prices, Total","Armenia","Armenian Dram","937101900000","1062219000000","1230597700000","1476938500000","1748060800000","2050010200000","2430780400000","2833726100000","3162945300000","2809097100000","3071077200000","3365621800000","3808226200000","4049210100000","4282291400000","4507832100000","4558489900000","4992418300000","5377810400000","5798012800000","5507951000000","6224491600000","7618557800000","8486978900000","...","Gross value added at basic prices is output valued at basic prices less intermediate consumption valued at purchasers' prices.","From 2000 to 2024","Ending 31 December","","Statistical Committee of the Republic of Armenia","For 2000–2011: Estimates are based on the 1993 System of National Accounts. For 2012–2023: Estimates are based on the 2008 System of National Accounts."
"Gross value added at current prices, Total","Australia","Australian Dollar","609853000000","645828000000","692223000000","732435000000","788421000000","849891000000","919824000000","1003629000000","1089586000000","1177789000000","1213418000000","1324652000000","1406934000000","1439811000000","1494119000000","1514482000000","1540448000000","1637630000000","1718288000000","1821534000000","1858747000000","1951756000000","2180676000000","2406811000000","...","Gross value added at basic prices is output valued at basic prices less intermediate consumption valued at purchasers' prices.","From 2000 to 2024","Ending 30 June","","Australian Bureau of Statistics",""
"Gross value added at current prices, Total","Azerbaijan","Azerbaijan Manat","4426900000","4897300000","5576300000","6596700000","7914500000","11576000000","17721800000","26490300000","37448600000","32791500000","39588500000","49026000000","51351700000","54304000000","54601100000","49521000000","55503700000","65333400000","73893700000","74533700000","65730000000","85623000000","123999600000","111814000000","...","Gross value added at basic prices is output valued at basic prices less intermediate consumption valued at purchasers' prices.","From 2000 to 2024","Ending 31 December","","State Statistical Committee of the Republic of Azerbaijan","For 2000–2009: Estimates are based on the 1993 System of National Accounts (SNA). For 2010–2023: Transition to the 2008 SNA began, although a global revision of the GDP and sectoral accounts series according to the 2008 SNA has yet to be fully implemented."
"Gross value added at current prices, Total","Bangladesh","Bangladeshi Taka","2287500000000","2450000000000","2635200000000","2898700000000","3194500000000","3555900000000","4576120570000","5233603800000","5988500890000","6749195800000","7612980950000","8691312000000","9986356000000","11412612000000","12805005000000","14449873000000","19874275560000","22217929680000","25166034000000","28238432380000","30570477170000","33978191310000","38198285550000","43430873560000","...","Gross value added at basic prices is output valued at basic prices less intermediate consumption valued at purchasers' prices.","From 2000 to 2024","Ending 30 June","","Bangladesh Bureau of Statistics","For 2000–2015: Estimates of GDP at current prices used the 2005/2006 base year. For 2016–2023: Estimates of GDP at current prices were rebased using the 2015/2016 base year, reflecting more comprehensive coverage of economic activities and methodological changes."
"Gross value added at current prices, Total","Bhutan","Bhutanese Ngultrum","20104708660","22728275620","26033454260","29063317200","31604767810","36073284830","40821225120","49877411500","55030039800","62025010260","72412770300","84902603370","95405875990","104310033800","116313009100","130113153200","146338826900","160666625500","166833277000","184277636600","177510461100","199746781500","222557259100","...","...","Gross value added at basic prices is output valued at basic prices less intermediate consumption valued at purchasers' prices.","From 2000 to 2024","Calendar Year","","National Statistics Bureau",""
"Gross value added at current prices, Total","Brunei Darussalam","Brunei Dollar","10346016340","10035408850","10462962880","11424185690","13305817550","15864066870","18225900000","18458500000","20397900000","15611300000","19042971990","23676001670","24181033180","23080977320","21999052540","18115153760","15979066930","17025374100","18593476510","18683498220","16862844150","19120639510","23357796170","20673892720","...","Gross value added at basic prices is output valued at basic prices less intermediate consumption valued at purchasers' prices.","From 2000 to 2024","Calendar Year","","Department of Economic Planning and Statistics",""
"Gross value added at current prices, Total","Cambodia","Kampuchean Riel","13367186030000","14851594140000","15891172930000","17637183110000","20221318920000","24409685960000","28344792030000","32640737550000","39435368870000","40448461150000","44248965880000","49050312460000","53431484530000","57751740790000","63513329530000","69085332960000","76432841490000","84379855130000","93366970490000","1.031779642E+14","99387351920000","1.037212424E+14","1.137459959E+14","1.196808699E+14","...","Gross value added at basic prices is output valued at basic prices less intermediate consumption valued at purchasers' prices.","From 2000 to 2024","Calendar Year","","National Institute of Statistics",""
"Gross value added at current prices, Total","China, People's Republic of","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Gross value added at current prices, Total","Cook Islands","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
