Database???Annual
Year£º1960-2023
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Total Inputs Mining(10000 yuan),,,,556533552.94,,,541862961.95,,538352109.43,,,535980969.00,,486392588.83,,,291808994.49,,194703333.79,,,103171891.02,,80837463.73,,,68283886.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Use Mining(10000 yuan),,,,255962749.02,,,258872682.77,,356032450.65,,,273447605.34,,266477379.49,,,153811072.42,,103963529.61,,,43505927.91,,34038339.59,,,32596402.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Use for Mining by Agriculture Forestry Animal Husbandry and Fishery(10000 yuan),,,,236206.48,,,247530.69,,306044.31,,,250030.21,,1624528.39,,,781272.11,,1135981.19,,,400481.80,,422433.60,,,675344.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Use for Mining by Mining(10000 yuan),,,,70421130.05,,,69460690.16,,79760272.52,,,71600276.62,,56380903.37,,,21882623.26,,8864077.32,,,3522633.10,,3231715.08,,,5189811.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Use for Mining by Manufacture of Foods Beverage and Tobacco(10000 yuan),,,,1450081.47,,,1742071.57,,4058563.12,,,2336708.86,,924336.75,,,645546.61,,52932.25,,,24149.64,,20526.16,,,19192.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Use for Mining by Manufacture of Textile Wearing Apparel and Leather Products(10000 yuan),,,,2440045.49,,,2605135.00,,2943791.82,,,1626931.54,,1955509.44,,,1365185.83,,1082427.81,,,518175.45,,557093.60,,,586372.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Use for Mining by Other Manufacture(10000 yuan),,,,885267.01,,,996960.31,,9403208.36,,,6439323.60,,5334380.67,,,3471051.26,,2173046.66,,,981772.00,,651830.60,,,1050214.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Use for Mining by Production and Supply of Electric Power Heat Power and Water(10000 yuan),,,,27748825.97,,,26114229.09,,32986096.48,,,31288295.52,,36087853.58,,,23899288.37,,20037237.58,,,6675984.92,,5895331.00,,,3335467.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Use for Mining by Coking Gas and Processing of Petroleum(10000 yuan),,,,29751682.66,,,33965648.23,,17202778.24,,,15425891.03,,15505792.13,,,10961386.24,,7485029.36,,,2673373.94,,2863437.25,,,1526675.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Use for Mining by Chemical Industry(10000 yuan),,,,,,,,,24603968.84,,,19062946.47,,19323444.31,,,11175155.08,,7833700.56,,,3577632.93,,3685135.00,,,3323576.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
