Database???Annual
Year£º1952-
Year,Gross Domestic Product(100 million yuan),Value-added of Agriculture Forestry Animal Husbandry and Fishery industries(100 million yuan),Value-added of Industry(100 million yuan),Value-added of Construction(100 million yuan),Value-added of Wholesale and Retail Trades(100 million yuan),Value-added of Transport Storage and Post(100 million yuan),Value-added of Hotels and Catering Services(100 million yuan),Value-added of Financial Intermediation(100 million yuan),Value-added of Real Estate(100 million yuan),Value-added of Others(100 million yuan)
2024,1349083.5,96612.9,405442.1,89949.3,137980.9,59232.2,24728.8,98544.2,84565.2,352027.9
2023,1294271.7,93967.0,392183.0,86640.6,130809.7,56438.3,23084.2,93926.9,87981.5,329240.5
2022,1234029.4,92576.8,388651.6,81439.8,122177.5,50967.7,19146.2,88051.5,88015.2,303003.0
2021,1173823.0,86994.8,369903.7,79269.8,114358.0,48439.0,19064.4,86409.2,90397.5,278986.7
2020,1034867.6,81396.5,311231.2,72751.2,98569.1,40712.1,15855.5,81159.0,85533.9,247659.0
2019,1005872.4,73576.9,311011.2,70789.8,96864.9,42611.1,18249.2,75113.7,83320.7,234334.9
2018,936010.1,67558.7,301089.3,65493.0,88903.7,40631.6,16520.6,70610.3,77632.9,207569.9
2017,847382.9,64660.0,275119.3,57905.6,81156.6,37383.7,15056.0,64844.3,69257.1,182000.3
2016,761193.0,62451.0,245406.4,51498.9,73724.5,33259.8,13607.8,59964.0,62066.4,159214.1
2015,702511.5,59852.6,234968.9,47761.3,67719.6,30737.9,12306.1,56299.8,53732.3,139132.8
2014,655782.9,57472.2,233197.4,45401.7,63170.4,28745.3,11228.7,46853.4,47971.6,121742.2
2013,603660.4,54692.4,222333.2,40896.8,56288.9,26239.7,10228.3,41293.4,43962.5,107725.3
2012,547510.6,50581.2,208901.4,36896.1,49835.5,23948.1,9536.9,35272.2,37761.4,94777.9
2011,495707.6,46122.6,195139.1,32926.5,43734.5,22014.0,8565.4,30747.2,33712.7,82745.4
2010,419253.3,39619.0,165123.1,27259.3,35907.9,18951.2,7712.0,25733.1,28668.7,70279.0
2009,354521.6,34659.7,138092.6,22681.5,29004.6,16671.9,6957.0,21836.8,23227.1,61390.4
2008,324317.8,33428.1,131724.0,18807.6,26186.2,16511.5,6616.1,18345.6,18449.5,54249.4
2007,274179.7,28483.7,111690.8,15348.0,20941.1,14726.8,5548.1,15200.0,16808.9,45432.2
2006,222578.4,24036.4,92235.8,12450.1,16533.4,12294.4,4792.6,9972.3,12622.6,37640.9
2005,189907.5,22416.2,77958.3,10400.5,13968.5,10768.7,4195.7,7486.0,10341.9,32371.6
2004,164228.0,21410.7,65774.9,8720.5,12455.8,9387.4,3664.8,6600.2,8941.8,27271.7
2003,139377.3,17380.6,55362.2,7510.8,11171.2,7983.6,3126.1,6045.7,7605.3,23191.9
2002,123311.9,16535.7,47774.9,6482.1,9996.8,7559.5,2724.8,5555.8,6484.2,20198.2
2001,112157.3,15780.0,43854.3,5945.5,9120.8,6931.1,2400.1,5202.8,5616.9,17305.9
