DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,1995,781.6,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,1996,917.8,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,1997,620.6,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,1998,656.8,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,1999,782.4,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2000,926.8,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2001,996.3,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2002,1015.9,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2003,1083.2,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2004,1186.6,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2005,1220.3,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2006,1255.7,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2007,1339.7,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2008,1481.7,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2009,1454.8,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2010,1615.4,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2011,1689.3,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2012,1798.9,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2013,1883.2,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2014,1992.7,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2015,2030.3,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2016,2127.9,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2017,2198.8,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2018,2364.1,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2019,2527.5,b,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2020,2516.2,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2021,2712.2,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2022,3068.8,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Albania,2023,3533.6,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,1995,4012.3,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,1996,3675.2,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,1997,3676.6,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,1998,3565.7,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,1999,3616.6,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2000,3549.1,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2001,3747.5,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2002,3583.9,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2003,3428.0,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2004,3591.7,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2005,3236.2,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2006,3530.3,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2007,4125.8,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2008,4042.2,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2009,3368.2,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2010,3801.7,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2011,4503.3,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2012,4488.2,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2013,4104.3,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2014,4210.8,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2015,3912.2,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2016,4087.6,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2017,4407.2,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2018,4250.5,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2019,4133.7,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2020,4074.7,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2021,4939.5,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2022,6159.0,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Austria,2023,6137.6,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Bosnia and Herzegovina,2000,544.0,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Bosnia and Herzegovina,2001,591.2,,
ESTAT:NAMA_10_A64(1.0),12/03/25 23:00:00,Annual,"Current prices, million euro","Agriculture, forestry and fishing","Value added, gross",Bosnia and Herzegovina,2002,634.4,,
