STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,REF_AREA,Reference area,ACTIVITY,Economic activity,COUNTERPART_AREA,Counterpart area,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,SGP,Singapore,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ARG,Argentina,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,18008.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,AUS,Australia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,140841.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,AUT,Austria,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,1227.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BEL,Belgium,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,335.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BGD,Bangladesh,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,3522.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BGR,Bulgaria,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,1356.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BLR,Belarus,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,858.1,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BRA,Brazil,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,48833,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BRN,Brunei Darussalam,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,7101,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CAN,Canada,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,91603.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CHE,Switzerland,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,959.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CHL,Chile,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,26336.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CHN,China (People’s Republic of),B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,342252.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CIV,Côte d’Ivoire,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,1637.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CMR,Cameroon,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,2017.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,COL,Colombia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,18031,,6,Millions
