,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Share Of Nominal Gross Value Added, By Industry (SSIC 2020), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 14/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,Goods Producing Industries (Per Cent),Goods Producing Industries -> Manufacturing (Per Cent),Goods Producing Industries -> Construction (Per Cent),Goods Producing Industries -> Utilities (Per Cent),Goods Producing Industries -> Other Goods Industries (Per Cent),Services Producing Industries (Per Cent),Services Producing Industries -> Wholesale & Retail Trade (Per Cent),Services Producing Industries -> Wholesale & Retail Trade -> Wholesale Trade (Per Cent),Services Producing Industries -> Wholesale & Retail Trade -> Retail Trade (Per Cent),Services Producing Industries -> Transportation & Storage (Per Cent),Services Producing Industries -> Accommodation & Food Services (Per Cent),Services Producing Industries -> Accommodation & Food Services -> Accommodation (Per Cent),Services Producing Industries -> Accommodation & Food Services -> Food & Beverage Services (Per Cent),Services Producing Industries -> Information & Communications (Per Cent),Services Producing Industries -> Finance & Insurance (Per Cent),"Services Producing Industries -> Real Estate, Professional Services And Administrative & Support Services (Per Cent)","Services Producing Industries -> Real Estate, Professional Services And Administrative & Support Services -> Real Estate (Per Cent)","Services Producing Industries -> Real Estate, Professional Services And Administrative & Support Services -> Professional Services (Per Cent)","Services Producing Industries -> Real Estate, Professional Services And Administrative & Support Services -> Administrative & Support Services (Per Cent)",Services Producing Industries -> Other Services (Per Cent),Services Producing Industries -> Other Services -> Public Administration & Defence (Per Cent),Services Producing Industries -> Other Services -> Education (Per Cent),Services Producing Industries -> Other Services -> Health & Social Services (Per Cent),"Services Producing Industries -> Other Services -> Arts, Entertainment & Recreation (Per Cent)",Services Producing Industries -> Other Services -> Other Services - Others (Per Cent),Ownership Of Dwellings (Per Cent)
  2024,22.7,17.3,3.8,1.6,0,73.2,21.6,20.3,1.2,9.1,1.6,0.8,0.8,6,14.3,11,2.9,5.5,2.6,9.6,2.4,2.5,2.6,1,1.1,4.1
  2023,23.4,17.9,3.7,1.7,0,72.7,22.1,20.8,1.3,7.6,1.6,0.8,0.8,6,14.3,11.4,3,5.7,2.7,9.6,2.5,2.6,2.6,0.9,1.1,3.9
  2022,25,20.6,3.2,1.2,0,71.9,22.3,21.1,1.2,12.1,1.3,0.5,0.7,5.1,12.1,10.6,2.8,5.1,2.8,8.5,2.3,2.3,2.2,0.7,0.9,3.1
  2021,26,21.8,3.1,1.1,0,70.6,20.5,19.2,1.2,9.6,1.1,0.4,0.7,5.6,13.3,11.2,2.9,5.3,3,9.5,2.6,2.8,2.5,0.6,1,3.4
  2020,24.4,20.6,2.4,1.4,0,71.5,19.5,18.2,1.3,6.5,1.3,0.5,0.8,5.8,15,12.8,3,5.9,3.9,10.6,2.8,3.1,2.7,0.7,1.2,4.1
  2019,25.4,20.4,3.7,1.2,0,70.8,18.6,17.1,1.5,6.5,2,0.9,1.2,4.7,13.9,13.8,3.5,6,4.4,11.1,2.7,3.1,2.7,1.3,1.4,3.8
  2018,26.8,21.9,3.7,1.2,0,69.5,18.5,16.8,1.6,6.5,2,0.9,1.2,4.2,13,14.4,3.4,5.6,5.5,10.9,2.6,3.1,2.6,1.3,1.3,3.7
  2017,25.1,19.7,4,1.2,0,71,18.4,16.7,1.7,7.1,2.1,0.9,1.2,4.3,12.7,15,3.5,5.8,5.7,11.3,2.7,3.2,2.6,1.3,1.4,3.9
  2016,24.7,18.6,4.8,1.4,0,71,17.9,16,1.8,6.7,2.2,0.9,1.3,4.4,12.4,15.9,4.2,6,5.7,11.5,2.8,3.4,2.7,1.3,1.4,4.2
  2015,25.8,19.2,5.1,1.5,0,69.7,16.4,14.6,1.8,7.5,2.2,0.9,1.3,4.1,12.5,15.7,4.7,6.1,4.9,11.3,2.7,3.4,2.5,1.3,1.4,4.5
  2014,25.6,19,5.1,1.4,0,69.7,17.2,15.3,1.8,7.2,2.3,1,1.3,4.3,12.2,15.3,5,5.9,4.4,11.3,2.6,3.4,2.5,1.5,1.4,4.7
  2013,24.9,18.7,4.7,1.4,0,70.3,18.9,17.1,1.8,6.8,2.3,1,1.3,4.2,11.8,15.2,5.3,6,4,11.1,2.5,3.4,2.3,1.6,1.4,4.8
  2012,26.6,20.3,4.7,1.5,0,68.9,19.5,17.6,1.9,6.8,2.3,1,1.3,4,10.9,14.7,4.9,6,3.7,10.8,2.4,3.2,2.2,1.7,1.4,4.5
  2011,26.8,20.8,4.5,1.5,0,69.1,20.5,18.6,1.9,6.7,2.2,1,1.2,3.9,10.7,14.3,4.9,5.9,3.5,10.8,2.4,3.2,2.1,1.7,1.4,4.1
  2010,28.2,22,4.7,1.5,0,68.1,19.1,17.3,1.8,8.2,2,0.8,1.1,3.7,11,13.6,4.5,5.9,3.1,10.5,2.4,3.2,2.1,1.5,1.4,3.7
  2009,28.5,21.3,5.6,1.5,0,67.7,18.8,16.8,2,8,1.9,0.7,1.1,4,11.8,13.3,4.1,6.2,3,10,2.4,3.3,2.1,0.8,1.5,3.9
  2008,27.9,21.7,4.6,1.5,0,68.2,17.4,15.3,2.1,9.7,2.1,0.9,1.1,3.8,11.6,13.7,4.4,6.3,3,10,2.5,3.2,2,0.8,1.5,3.9
  2007,30,25.3,3.1,1.5,0,66.9,19.1,17.1,2,9.6,1.9,0.8,1.1,3.6,11.5,11.9,3.6,5.6,2.6,9.4,2.4,2.9,1.9,0.8,1.4,3.1
  2006,32.3,27.7,2.9,1.6,0.1,64.6,18.6,16.4,2.1,9.2,1.9,0.8,1.1,3.8,10.4,10.8,3.1,5.2,2.4,10,2.5,3.1,2,0.8,1.5,3.1
  2005,32.9,28.3,3,1.6,0.1,64,17.1,14.8,2.3,10.2,2,0.7,1.2,4,9.7,10.8,3.3,5.2,2.3,10.2,2.7,3.1,2.1,0.8,1.6,3.1
  2004,33.6,28.5,3.2,1.9,0.1,63.3,15,na,na,10.4,2.1,na,na,4.1,10,10.7,na,na,na,10.9,na,na,na,na,na,3.1
  2003,32,26.2,3.7,2,0.1,64.3,14.2,na,na,10,2.2,na,na,4.4,10.5,11.3,na,na,na,11.8,na,na,na,na,na,3.7
  2002,32.5,26.1,4.3,2.1,0.1,63.9,14.2,na,na,9,2.4,na,na,4.2,10.6,11.5,na,na,na,12,na,na,na,na,na,3.6
  2001,32.4,24.9,5.1,2.3,0.1,63.6,13.3,na,na,9.4,2.5,na,na,4.5,10.9,11.4,na,na,na,11.5,na,na,na,na,na,4
  2000,34.9,27.7,5.3,1.8,0.1,61.4,13.4,na,na,10,2.5,na,na,3.8,10.1,11.4,na,na,na,10.2,na,na,na,na,na,3.7
  1999,32.9,24.3,6.6,1.9,0.1,62.9,13.4,na,na,10.2,2.6,na,na,3.9,11.2,11.7,na,na,na,10,na,na,na,na,na,4.2
  1998,33.9,23.9,7.8,2.1,0.1,61.5,11.9,na,na,9.5,2.6,na,na,3.5,12.5,11.7,na,na,na,9.9,na,na,na,na,na,4.6
  1997,33.3,23.6,7.6,1.9,0.1,62.5,12.6,na,na,9.4,2.7,na,na,3.3,12.8,12.1,na,na,na,9.6,na,na,na,na,na,4.2
  1996,33.8,24.7,7.1,1.8,0.2,62,13.3,na,na,9.8,2.7,na,na,3.3,11.1,12.1,na,na,na,9.6,na,na,na,na,na,4.2
  1995,33.9,25.7,6.3,1.7,0.2,62,13.2,na,na,10.3,2.8,na,na,3.3,11.2,11.7,na,na,na,9.4,na,na,na,na,na,4.1
  1994,33.7,25.3,6.5,1.7,0.2,62.3,13.1,na,na,10.4,2.8,na,na,3.2,12,11.1,na,na,na,9.8,na,na,na,na,na,4
  1993,34.3,25.9,6.3,1.8,0.2,62.1,13.1,na,na,10.5,3.1,na,na,3.2,12.6,10.1,na,na,na,9.5,na,na,na,na,na,3.7
  1992,34.2,25.6,6.6,1.8,0.2,62.2,12.3,na,na,10.8,3.3,na,na,3.1,12.4,10.4,na,na,na,9.9,na,na,na,na,na,3.6
  1991,34.4,26.6,5.7,1.8,0.3,62.2,13,na,na,11.6,3.3,na,na,2.9,11.8,9.8,na,na,na,9.7,na,na,na,na,na,3.5
  1990,32.7,25.6,4.8,2,0.3,63.7,12.9,na,na,11.3,3.5,na,na,2.8,13.7,9.8,na,na,na,9.7,na,na,na,na,na,3.6
  1989,34.3,26.7,5.1,2.1,0.4,61.9,11.6,na,na,12,3.6,na,na,2.8,12.3,9.5,na,na,na,10.1,na,na,na,na,na,3.9
  1988,35.6,27.3,5.4,2.4,0.4,60.6,12.1,na,na,11.9,3.4,na,na,2.6,12.1,8.5,na,na,na,10,na,na,na,na,na,3.8
  1987,34.5,25.1,6.5,2.4,0.6,61.5,12,na,na,11.8,3.4,na,na,2.5,13.4,7.9,na,na,na,10.4,na,na,na,na,na,4
  1986,35.1,23.4,8,2.9,0.7,61.3,11.8,na,na,11.9,3.5,na,na,2.5,12.3,8.5,na,na,na,10.9,na,na,na,na,na,3.6
  1985,34.4,20.9,10.3,2.2,1,62.2,11.9,na,na,11.8,3.5,na,na,2.5,12.9,8.6,na,na,na,11,na,na,na,na,na,3.4
  1984,37.6,22.2,12.2,2.1,1.1,59.5,12.4,na,na,11.1,3.5,na,na,2.4,11.3,9,na,na,na,9.8,na,na,na,na,na,2.9
  1983,37,22.3,11.3,2.1,1.2,60.7,13.3,na,na,11.4,3.8,na,na,2.3,10.8,9.5,na,na,na,9.6,na,na,na,na,na,2.3
  1982,35.9,23.1,9.4,2.1,1.4,62.2,14.3,na,na,11.2,4.1,na,na,2.5,11.2,9.7,na,na,na,9.4,na,na,na,na,na,1.8
  1981,37.2,26.7,7.2,1.8,1.5,60.6,14.8,na,na,11.6,4,na,na,2.6,10.8,8.6,na,na,na,8.3,na,na,na,na,na,2.1
  1980,37.8,27.5,6.2,2.4,1.6,60.3,17,na,na,11.9,4,na,na,2.5,9.2,7.2,na,na,na,8.4,na,na,na,na,na,1.9
  1979,36,26.3,5.8,2.3,1.6,61.7,19.1,na,na,11.9,3.9,na,na,2.6,7.9,7.1,na,na,na,9.2,na,na,na,na,na,2.3
  1978,34.4,24.2,6.1,2.2,1.7,63.2,20,na,na,12.4,3.8,na,na,2.6,7.7,7.3,na,na,na,9.5,na,na,na,na,na,2.4
  1977,35,23.5,7.4,2.1,2.1,62.5,20.5,na,na,11.3,3.6,na,na,2.3,7.2,7.8,na,na,na,9.8,na,na,na,na,na,2.5
  1976,35.3,22.9,8.1,2.2,2.1,62.2,20.3,na,na,10.5,3.5,na,na,2.1,7.5,8.1,na,na,na,10.3,na,na,na,na,na,2.5
  1975,34.6,22.2,7.9,2.2,2.2,62.9,21.3,na,na,9.5,3.5,na,na,2.1,7.5,8.5,na,na,na,10.6,na,na,na,na,na,2.5
  1974,34.5,22.8,7.4,2.2,2.1,62.9,23.3,na,na,9.1,3.4,na,na,1.7,6.4,8.9,na,na,na,10.1,na,na,na,na,na,2.6
  1973,34.4,22.3,7.2,2.5,2.4,62.7,22.6,na,na,9.5,3.6,na,na,1.8,6.3,8.9,na,na,na,10,na,na,na,na,na,2.9
  1972,34.8,21.2,8.6,2.7,2.3,62.1,21,na,na,9.8,3.5,na,na,1.8,5.7,9.4,na,na,na,10.9,na,na,na,na,na,3.2
  1971,32.6,19.5,7.6,2.8,2.7,64.3,22.9,na,na,9.6,3.5,na,na,1.8,5.4,9.4,na,na,na,11.8,na,na,na,na,na,3
  1970,31.2,18.5,7,3,2.7,66,24.3,na,na,9.5,3.5,na,na,1.9,5.4,9.2,na,na,na,12.3,na,na,na,na,na,2.8
