"ReporterISO3","ReporterName","Year","Exports (% of GDP)","Exports G&S (Current USD)","Imports (% of GDP)","Imports G&S (Current USD)","Trade Balance (% of GDP)","Trade Balance G&S (Current USD)"
"CHN","China",1988,11.0149,34405453824,12.0106,37515628544,-0.9957,-3110174720
"CHN","China",1989,9.0273,31394222080,10.1074,35150176256,-1.08,-3755954176
"CHN","China",1990,12.4516,44932591616,9.7479,35175964672,2.7037,9756626944
"CHN","China",1991,13.4364,51511463936,10.63,40752443392,2.8064,10759020544
"CHN","China",1992,13.5555,57870749696,12.542,53543907328,1.0135,4326842368
"CHN","China",1993,11.9979,53358342144,13.9025,61828976640,-1.9047,-8470634496
"CHN","China",1994,18.5367,104606924800,17.2331,97249959936,1.3037,7356964864
"CHN","China",1995,17.9525,131858563072,16.3244,119900585984,1.6281,11957977088
"CHN","China",1996,17.9233,154812350464,15.8914,137262292992,2.0318,17550057472
"CHN","China",1997,19.4932,187446657024,15.0399,144623534080,4.4533,42823122944
"CHN","China",1998,18.3421,188751347712,14.0822,144914432000,4.2599,43836915712
"CHN","China",1999,18.1625,198699401216,15.3617,168058437632,2.8008,30640963584
"CHN","China",2000,20.8937,253091954688,18.5173,224306118656,2.3764,28785836032
"CHN","China",2001,20.3121,272061054976,18.2152,243974717440,2.0969,28086337536
"CHN","China",2002,22.6447,333004013568,20.1027,295621165056,2.5421,37382848512
"CHN","China",2003,26.9808,447956254720,24.8232,412135292928,2.1575,35820961792
"CHN","China",2004,31.0613,607356846080,28.4442,556182470656,2.6172,51174375424
"CHN","China",2005,33.8299,773337448448,28.378,648710914048,5.4518,124626534400
"CHN","China",2006,36.035,991726600192,28.4439,782808711168,7.5912,208917889024
"CHN","China",2007,35.4348,1258051469312,26.7586,950016737280,8.6762,308034732032
"CHN","China",2008,32.6027,1497878495232,25.01,1149043736576,7.5927,348834758656
"CHN","China",2009,24.7499,1262661140480,20.435,1042531287040,4.3148,220129853440
"CHN","China",2010,27.1853,1654823321600,23.5317,1432422449152,3.6536,222400872448
"CHN","China",2011,26.5682,2006308880384,24.1727,1825413529600,2.3955,180895350784
"CHN","China",2012,25.4925,2175069323264,22.775,1943205314560,2.7175,231864008704
"CHN","China",2013,24.5993,2354264408064,22.1451,2119392296960,2.4541,234872111104
"CHN","China",2014,23.5101,2462825840640,21.3952,2241276149760,2.1149,221549690880
"CHN","China",2015,21.3541,2362097270784,18.1101,2003260801024,3.244,358836469760
"CHN","China",2016,19.5844,2199974838272,17.31,1944490606592,2.2743,255484231680
"CHN","China",2017,19.6923,2424215961600,17.9401,2208518897664,1.7521,215697063936
"CHN","China",2018,19.1121,2655609159680,18.4537,2564121952256,0.6584,91487207424
