"variable","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"Unemp",-0.154650916267539,0.0649390764527488,-0.416033216068932,0.481701937217517,0.125849812527699,0.19879281549151,0.45969146526839,-0.440042895520842,-0.180591938089681,-0.164137580546229,0.0246404511149371,-0.0533485840363942,-0.00115355169017587,-0.113459179897922,-0.119069113270209
"XinPercGDP",-0.224726286784569,0.342527674185439,0.235419285071406,-0.0617654505062843,-0.113977258346482,0.264811897824649,-0.00578405134603975,0.112560915945892,0.387291493648222,-0.231609385112399,0.0106465026172387,-0.419266775018162,0.212397827363603,-0.154358678590617,-0.347902762225113
"GDPpcPPPDivFromMean",-0.29361052448773,0.0348470131139496,0.0288248770035165,-0.224421885839221,-0.0529900529477871,0.236823695122058,0.199100288168543,-0.120570195322858,0.118882165655577,0.488114392046581,0.533000284858518,0.324517994295442,0.155407623326289,0.148570824535698,-0.0600385173822909
"CAinPercGDP",-0.244525212946914,-0.131259288019051,0.315812868809423,-0.0528401363683899,-0.0117972765272006,0.422138747280522,0.303996598906276,0.309731939893133,-0.251193257665825,-0.296585479351561,-0.0151406561222895,0.07270308083259,-0.339461375764698,0.0824588887627887,0.381380263700894
"DebtPercGDP",-0.0558951778881611,-0.215861339083278,-0.252156142826213,-0.516858745237955,0.631403364334612,0.11516753100801,0.172908819163154,0.0176979350070684,0.126900170290528,-0.0119213999197322,-0.137856705716176,-0.214429020210192,0.199355218157138,0.0439959499181856,0.100598914793543
"FinanceShareVA",-0.267564857700645,0.215100279737269,0.189941236911994,0.18371722976044,0.0267670765775657,-0.127724202591491,0.120026985177164,0.211487318062179,-0.397572704231679,0.241076698922968,-0.353445665407417,-0.0175280631024148,0.589164495516151,0.171845214117599,0.0894045237717467
"ManufacturingShareVA",-0.00914797811706675,-0.532822094361132,0.197509490637095,0.184549625204669,-0.224107503535317,0.347358959229935,-0.0706438187476877,-0.309930893136818,0.349661548455456,0.163490258485792,-0.390749973632253,0.00752084034638803,0.194077466448311,-0.0426521038383067,0.147496962358203
"AgricultureShareVA",0.287031129633826,0.122121397125739,0.0890213656504399,-0.266858813831499,0.0343207389316425,0.0830166547194568,0.230359155697734,-0.0352105629293421,-0.0295079095744129,-0.162141188968908,-0.415166780696841,0.588136784867759,0.043566475232209,-0.117397080673231,-0.388651112009565
"MiningShareVA",0.14827206841291,0.248715842326608,-0.411086704572192,0.263377258934848,0.0879163990383695,0.51754392362236,-0.226636327122748,0.441699454524287,0.169883645797801,0.195368273872399,-0.120547678401021,0.152811841340145,-0.0507981913678869,0.135738926365266,-0.00546881699562479
"GiniMkt",-0.127772299266046,0.0148158464416075,0.312558215116641,0.361850341109276,0.68021600329386,-0.0936119730347006,-0.297117983807334,-0.0567534604845115,0.150149608336511,-0.0239434970128344,0.0445749971121731,0.18316743666794,-0.0563064777758049,-0.0737709683741817,0.0400763712065108
"FDInetinflow",-0.14796272065492,0.514664501381381,0.153463950419231,-0.103789467218775,0.0319484808747507,-0.0612632250857672,0.0645533161169855,-0.389946575967408,0.224556810942634,0.18925642412883,-0.253536250904494,0.0996748147456769,-0.298003092706401,0.0896774526840723,0.264886325892508
"ECI",-0.261563125146794,-0.337277083689619,0.00798441518749099,0.0392041588219479,0.0401190209251676,-0.0399465776015619,-0.157464109174933,0.0182613779919244,-0.160123257126767,0.120050978731517,-0.0712394399660923,0.084348915699019,-0.163271878841256,0.318858815602856,-0.514306259559599
"cc",-0.310197508320881,0.0171377809288705,-0.0302051518415414,-0.123334098029351,0.023341580105854,0.0500900530860517,-0.0112859292809648,-0.039842954962154,-0.126981799730111,0.126237881275975,-0.229288374691286,-0.270884277208628,-0.263595665494846,-0.0889980159576832,-0.295869147177898
"ge",-0.311160355614154,-0.0681584991894469,-0.00703972204786827,0.00254499966889604,-0.0104749917655735,0.00467314196772437,-0.100292791182958,0.103964074189773,-0.000219851539182787,-0.18001918371048,0.165773800186799,0.332131294165989,0.217581650318478,-0.612276378650413,-0.00275113240880732
"pv",-0.234658667283612,0.103865500911111,-0.312484462493845,-0.260648520879152,-0.134374559746889,0.146449457648625,-0.546045780204005,-0.294935536837051,-0.251761399714534,-0.248443840217883,-0.0936564907039067,0.098459607506393,0.158060030178064,0.0688560658046352,0.228075796737604
"rq",-0.310435904115248,0.00790226074865075,-0.0124074483713958,0.0540568241671732,-0.048543754420547,-0.0940572512739777,-0.048191857515541,0.00615297574679135,0.242315094669023,-0.435392649118515,0.0153438620575675,0.191395793687504,-0.0283713450281146,0.470512865009796,-0.120332121983353
"rl",-0.304087701104317,-0.0323477254012519,-0.142594756680602,-0.0495029134804387,-0.0636238464948637,-0.0946809976788803,-0.0849838837608556,0.166959758074533,-0.0236176420569813,0.300129271362042,-0.212588714313468,0.0238107318885913,-0.35102192738392,-0.378062318173194,0.00044958937018668
"va",-0.23838908908566,-0.103858164044978,-0.339020318500135,0.0606898664441312,-0.138802752111714,-0.418555931467072,0.260256978221609,0.250752158133315,0.420245169109961,-0.0568730373036354,-0.160792545725164,0.118272966536083,0.0451186883752026,0.0438419216445257,0.185623016853098
"variance_share",0.5615,0.1426,0.1067,0.0651,0.0549,0.031,0.0173,0.01,0.0073,0.0015,0.0012,6e-04,2e-04,2e-04,0
"cumulative_variance",0.5615,0.7041,0.8108,0.8758,0.9307,0.9617,0.979,0.9889,0.9962,0.9977,0.9989,0.9996,0.9998,1,1
